name,model,tree_length
12023,JTT+F+G,1.867
11502,LG+F,0.449
40607,FLU+F+G,0.397
2792,LG+F,2.433
23347,JTT+F+G,0.384
9788,Poisson+F+G,0.016
5653,LG+F,0.402
17117,LG+F+G,0.734
3798,WAG+F,0.594
13284,Poisson+F+G,1.534
9240,JTT+F+G,1.982
29377,LG+F,0.033
14261,WAG+F,0.510
1296,FLU+F+G,0.675
13361,JTT+F+G,2.421
9290,WAG+F+G,0.186
6608,Poisson+F,1.295
7741,LG+F+G,1.000
10314,WAG+F+G,1.459
4178,FLU+F+G,3.314
25990,Poisson+F+G,0.350
7532,LG+F,1.361
13405,LG+F,0.021
966,WAG+F,1.322
3259,FLU+F,0.354
4104,Poisson+F+G,0.421
2889,WAG+F+G,1.037
20332,WAG+F+G,1.179
2859,JTT+F+G,1.401
25269,LG+F,0.732
6758,Poisson+F,0.010
3897,FLU+F,1.173
3024,JTT+F+G,0.758
5905,FLU+F+G,1.480
10056,Poisson+F+G,0.145
6174,WAG+F,0.411
42794,LG+F,0.545
343,FLU+F,0.317
6497,WAG+F,0.467
13476,LG+F+G,2.733
27803,FLU+F,0.247
1643,WAG+F+G,1.771
29123,JTT+F+G,1.712
9645,FLU+F+G,0.304
9713,Poisson+F+G,0.077
1693,JTT+F+G,10.129
2712,JTT+F,2.654
669,FLU+F,1.975
11444,WAG+F,0.004
24871,JTT+F+G,0.234
361,WAG+F,1.675
6156,FLU+F,1.108
31871,JTT+F+G,2.085
682,WAG+F,1.965
3220,LG+F+G,0.976
32715,Poisson+F+G,3.387
19455,JTT+F+G,1.955
8914,LG+F,4.753
16052,WAG+F,0.844
3574,JTT+F+G,0.561
2131,Poisson+F,0.384
4940,WAG+F,0.250
5304,JTT+F,0.039
31494,LG+F+G,0.167
8443,WAG+F,0.295
1048,WAG+F,2.322
20371,LG+F+G,1.761
13234,FLU+F+G,0.152
2061,Poisson+F,0.422
9315,FLU+F+G,1.037
8169,WAG+F,0.926
37440,Poisson+F,2.610
2366,JTT+F+G,0.128
16593,FLU+F,2.317
4989,WAG+F,1.305
8584,LG+F,2.642
40708,JTT+F,0.053
8182,FLU+F,0.299
5006,Poisson+F+G,1.927
4962,FLU+F,0.151
23161,LG+F,0.350
8507,FLU+F+G,0.141
12426,FLU+F+G,1.170
6720,LG+F+G,1.796
1659,FLU+F+G,0.840
6967,FLU+F,2.338
3084,WAG+F,0.199
4973,Poisson+F,0.051
12375,LG+F+G,0.695
25413,WAG+F+G,2.327
4288,Poisson+F,0.544
13169,LG+F+G,6.822
17838,FLU+F+G,3.651
3567,WAG+F,2.010
2514,Poisson+F,3.051
11765,LG+F,1.028
10631,JTT+F,1.759
11119,JTT+F+G,0.167
5652,LG+F,1.309
43888,FLU+F,0.029
2523,LG+F+G,2.159
13404,LG+F,5.102
12066,Poisson+F+G,0.583
6300,FLU+F+G,0.878
14057,WAG+F,0.683
6945,WAG+F,1.015
23573,Poisson+F,0.871
31255,JTT+F,2.145
11993,LG+F,2.493
4153,FLU+F,0.364
1309,FLU+F+G,2.358
32007,FLU+F,5.386
44996,WAG+F,0.885
21472,LG+F+G,3.143
2965,LG+F,1.378
13149,FLU+F,1.318
7036,Poisson+F+G,3.928
25824,WAG+F,1.194
30193,JTT+F+G,0.466
11499,WAG+F+G,1.206
40798,FLU+F+G,1.720
1963,JTT+F+G,0.826
13441,WAG+F,0.323
11449,JTT+F+G,1.083
10831,FLU+F+G,3.335
1879,WAG+F,1.471
2916,WAG+F+G,1.576
18837,WAG+F+G,3.160
9636,JTT+F,1.899
7023,LG+F+G,2.751
13463,FLU+F,0.737
5434,LG+F,1.170
846,LG+F,2.257
25806,FLU+F,1.654
24781,JTT+F+G,0.318
42882,Poisson+F+G,1.572
1892,FLU+F,0.621
6650,FLU+F+G,1.263
4479,FLU+F,0.227
29505,FLU+F,2.723
8991,WAG+F,2.010
13180,FLU+F,2.235
29110,LG+F,0.605
4171,WAG+F,1.471
10396,LG+F,3.009
5561,WAG+F,1.676
12590,FLU+F,0.117
12776,Poisson+F,0.126
5069,FLU+F,3.698
3360,LG+F,0.792
10532,Poisson+F,3.242
12626,Poisson+F,1.061
28785,LG+F,0.345
10462,Poisson+F,1.622
36835,FLU+F,0.915
6617,JTT+F+G,0.341
9862,WAG+F,0.300
5082,WAG+F,1.156
8226,JTT+F,0.146
12051,WAG+F,0.620
1935,LG+F+G,0.518
1307,JTT+F,0.396
12559,FLU+F,0.115
5662,WAG+F+G,0.040
37253,JTT+F,1.572
4455,Poisson+F+G,2.069
9922,WAG+F+G,0.699
3529,WAG+F+G,2.159
1924,FLU+F+G,0.397
38715,Poisson+F,0.234
1963,Poisson+F+G,0.901
6711,JTT+F,2.132
1267,LG+F,1.323
4520,WAG+F+G,4.454
11405,Poisson+F+G,0.346
26421,FLU+F+G,1.228
3507,Poisson+F+G,0.372
6347,JTT+F+G,4.041
39240,JTT+F+G,0.764
8340,Poisson+F+G,1.577
2462,LG+F+G,1.413
21491,Poisson+F,0.188
